,Text,Cluster_Label
4223,"Variable credit course. X-grade allowed.
",9
2420,"Pass/Fail only. Variable credit course.
",9
2119,"Pass/Fail only. Variable credit course. X-grade allowed.
",9
2464,"Pass/Fail only. Variable credit course.
",9
4522,"Pass/Fail only. Variable credit course.2974H: INDEPENDENT STUDYHonors section. Variable credit course.
",9
5175,"and movement. May be repeated for a maximum of 9 credit hours. Variable credit course. Pre: 2144,
",9
5168,"foundational training in acting, voice and movement. May be repeated for credit. Variable credit course.
",9
5165,"of credit hours. Variable credit course. Pre: 2414, 2136.
",9
5160,"foundational training in all areas of theatre arts. May be repeated for credit. (Variable credit) Variable
",9
5156,"who have foundational training in all areas if theatre design. May be repeated for credit. Variable credit
",9
5152,"who have foundational training in areas of theatre design. May be repeated for credit. Variable credit
",9
4076,"Pass/Fail only. Variable credit course.
",9
5140,"writing. May be repeated for a maximum of nine credits. Variable credit course. X-grade allowed.
",9
2384,"Honors Variable credit course.
",9
4684,"Honors section. Variable credit course.
",9
4422,"Variable credit course. X-grade allowed.
",9
2653,"Pass/Fail only. Variable credit course.
",9
2123,"Honors section. Variable credit course.
",9
4881,"Pass/Fail only. Variable credit course.
",9
4690,"Honors section. Variable credit course.
",9
3805,"Pass/Fail only. Variable credit course.
",9
4207,"CHARGE. May be repeated for credit maximum of 12 credits. Variable credit course.
",9
3591,"Variable credit course. X-grade allowed.
",9
3042,"Pass/Fail only. Variable credit course.
",9
3589,"Variable credit course. X-grade allowed.
",9
5017,"content up to a maximum of nine credit hours. Variable credit course. Pre: 3214 or 3224.
",9
2849,"Pass/Fail only. Variable credit course.
",9
2353,"Honors Variable credit course.
",9
2761,"Variable credit course.4974H: INDEPENDENT STUDY
",9
2759,"Pass/Fail only. Variable credit course.
",9
2388,"Honors Variable credit course.
",9
5288,"Pass/Fail only. Variable credit course.
",9
4680,"Pass/Fail only. Variable credit course.
",9
1996,"Honors section. Variable credit course.
",9
3692,"Pass/Fail only. Variable credit course.4974: INDEPENDENT STUDYVariable credit course.
",9
5209,"experiences. Minimum 9 credits, maximum 15 credits. Audition and consent. Variable credit course.
",9
5435,"Variable credit course. X-grade allowed.
",9
5439,"Variable credit course. X-grade allowed.
",9
2127,"Honors section. Variable credit course.
",9
5211,"Pass/Fail only. Variable credit course.
",9
2380,"Pass/Fail only. Variable credit course.
",9
5200,"for a maximum of six credits. Junior standing. Variable credit course.
",9
3696,"Variable credit course. X-grade allowed.
",9
5215,"Variable credit course.4984: SPECIAL STUDYVariable credit course.
",9
4301,"Variable credit course. X-grade allowed.
",9
4424,"Variable credit course.
",8
2766,"Variable credit course.
",8
2466,"Variable credit course.
",8
2219,"Variable credit course.
",8
3436,"Variable credit course.
",8
4398,"Variable credit course.
",8
2468,"Variable credit course.
",8
3429,"Variable credit course.
",8
2221,"Variable credit course.
",8
2768,"Variable credit course.
",8
5290,"Variable credit course.
",8
3427,"Variable credit course.
",8
2121,"Variable credit course.
",8
4851,"Variable credit course.
",8
3449,"Variable credit course.
",8
2855,"Variable credit course.
",8
2386,"Variable credit course.
",8
1998,"Variable credit course.
",8
2000,"Variable credit course.
",8
2817,"Variable credit course.
",8
2472,"Variable credit course.
",8
2470,"Variable credit course.
",8
4948,"Variable credit course.
",8
2853,"Variable credit course.
",8
2764,"Variable credit course.
",8
3293,"Variable credit course.
",8
4392,"Variable credit course.
",8
2762,"Variable credit course.
",8
2851,"Variable credit course.
",8
2426,"Variable credit course.
",8
3453,"Variable credit course.
",8
3451,"Variable credit course.
",8
3425,"Variable credit course.
",8
4887,"Variable credit course.
",8
2217,"Variable credit course.
",8
4816,"Variable credit course.
",8
3384,"Variable credit course.
",8
4009,"Variable credit course.
",8
3382,"Variable credit course.
",8
3338,"Variable credit course.
",8
3340,"Variable credit course.
",8
3380,"Variable credit course.
",8
3342,"Variable credit course.
",8
4078,"Variable credit course.
",8
3344,"Variable credit course.
",8
3346,"Variable credit course.
",8
4812,"Variable credit course.
",8
3363,"Variable credit course.
",8
2424,"Variable credit course.
",8
2422,"Variable credit course.
",8
3330,"Variable credit course.
",8
